305:gathering - textile finishing, manufacturing techniques
306:smocking - textile finishing, manufacturing techniques
307:tiered - textile finishing, manufacturing techniques
308:cutout - textile finishing, manufacturing techniques
309:slit - textile finishing, manufacturing techniques
310:perforated - textile finishing, manufacturing techniques
311:lining - textile finishing, manufacturing techniques
312:applique(a) - textile finishing, manufacturing techniques
313:bead(a) - textile finishing, manufacturing techniques
314:rivet(a) - textile finishing, manufacturing techniques
315:sequin(a) - textile finishing, manufacturing techniques
316:no special manufacturing technique - textile finishing, manufacturing techniques
317:plain (pattern) - textile pattern
318:abstract - textile pattern
319:cartoon - textile pattern
320:letters, numbers - textile pattern
321:camouflage - textile pattern
322:check - textile pattern
323:dot - textile pattern
324:fair isle - textile pattern
325:floral - textile pattern
326:geometric - textile pattern
327:paisley - textile pattern
328:stripe - textile pattern
329:houndstooth (pattern) - textile pattern
330:herringbone (pattern) - textile pattern
331:chevron - textile pattern
332:argyle - textile pattern
333:leopard - animal
334:snakeskin (pattern) - animal
335:cheetah - animal
336:peacock - animal
337:zebra - animal
338:giraffe - animal
339:toile de jouy - textile pattern
340:plant - textile pattern
